clip_name,passes_gates,slip_rate,max_pitch_deg,max_roll_deg,joint_rmse_rad,contact_mismatch,mean_slip_velocity,height_change,num_frames
walking_fast02,False,0.4851190476190476,53.216697253771386,49.863977359899664,0.11930891740808065,0.1175,0.23800905595780938,-0.045689352770415304,200
walking_medium01,False,0.8464730290456431,53.04279557064266,46.838192012325905,0.07194073699489067,0.10377358490566038,0.41792652360634897,-0.06444475875122901,159
walking_medium02,False,0.3701657458563536,41.44182153386143,35.238315686558245,0.05149631079787033,0.03,0.1347582123884273,-0.05250983573213308,200
walking_medium03,False,0.6013986013986014,50.3330847892357,52.02075844442649,0.09718404556022718,0.0675,0.33371284855965044,-0.021207082717421777,200
walking_medium04,False,0.6547619047619048,55.93252745019525,46.97465456199746,0.06902281742868539,0.055,0.3192150878858105,-0.09034691280660018,200
walking_medium05,False,0.610062893081761,41.948718814582726,44.02539190996101,0.07123406380427959,0.07,0.30235193484428946,-0.05127908366609241,200
walking_medium06,False,0.45222929936305734,42.34252090890144,38.97437795399152,0.06503065766663076,0.07,0.2732240684824787,-0.0374897047894191,200
walking_slow01,False,0.5700934579439252,73.47125917087746,50.59287376146001,0.13634145714434287,0.17,0.21605468363614433,-0.05251407115023282,200
walking_slow02,False,0.671875,42.066421871284554,42.7242001826963,0.054382959774348615,0.045,0.29028256653108764,-0.053825891127942393,200
walking_slow03,False,0.39661016949152544,46.699654570647105,39.7661459796188,0.04717705109413015,0.0275,0.1590230562565811,-0.05616066318902779,200
walking_slow04,False,0.40484429065743943,53.49662725533104,40.745215337793624,0.0432855940707963,0.12,0.12112084802057127,-0.05982184576458488,200
walking_slow06,False,0.42196531791907516,46.01219991339548,33.89689599479342,0.04794943200589042,0.04,0.14909809745044858,-0.041434441660516685,200
